pos,first_name,last_name,espn_id
QB,Anthony,Richardson,4429084
QB,Bryce,Young,4685720
QB,C.J.,Stroud,4432577
QB,Will,Levis,4361418
QB,Stetson,Bennett,4259553
QB,Hendon,Hooker,4240858
QB,Sean,Clifford,4259592
QB,Easton,Stick,3120590
QB,Drew,Lock,3924327
QB,Matt,Barkley,15948
RB,Bijan,Robinson,4430807
RB,Najee,Harris,4241457
RB,Aaron,Jones,3042519
RB,Jahmyr,Gibbs,4429795
RB,Kendre,Miller,4599739
RB,Zach,Charbonnet,4426385
RB,Michael,Carter,4240657
RB,Devon,Achane,4429160
RB,Roschon,Johnson,4426386
RB,Tank,Bigsby,4429013
RB,Jermar,Jefferson,4374033
RB,Tyjae,Spears,4428557
RB,Chase,Brown,4362238
RB,Deuce,Vaughn,4431453
RB,Tony,Jones-Jr,4046676
RB,Jonathan,Williams,2980077
RB,Zach,Evans,4685035
RB,John,Kelly-Jr,3915381
RB,Sean,Tucker,4430871
RB,Evan,Hull,4569609
RB,Israel,Abanikanda,4429202
RB,Eric,Gray,4570561
RB,DeWayne,McBride,4430388
RB,Nate,McCrary,4820592
RB,Snoop,Conner,4567246
RB,Jason,Huntley,4040790
RB,Lew,Nichols-III,4428119
RB,Andrew,Beck,3125107
RB,Keith,Smith,17315
RB,Kenny,McIntosh,4427391
RB,Alex,Armah,4212884
TE,Dalton,Kincaid,4385690
TE,Sam,LaPorta,4430027
TE,Michael,Mayer,4429086
TE,Luke,Musgrave,4428085
TE,Johnny,Lumpkin,4363098
TE,Kris,Leach,4243475
TE,Zach,Davidson,4746079
TE,Christian,Trahan,4360199
TE,Tucker,Fisk,4242558
TE,Tucker,Kraft,4572680
TE,Blake,Whiteheart,4362018
TE,Payne,Durham,4372505
TE,Nick,Guggemos,3957439
TE,David,Wells,3047536
TE,John,FitzPatrick,4379401
TE,Josh,Whyle,4360086
TE,Nick,Muse,4249624
TE,Zack,Kuntz,4361417
TE,Darnell,Washington,4430802
TE,Noah,Togiai,3930298
TE,Hunter,Long,4239944
TE,Davis,Allen,4426553
TE,Cameron,Latu,4372026
TE,Will,Mallory,4362523
TE,Luke,Schoonmaker,4372096
TE,Matt,Sokol,3121378
TE,Chase,Allen,4035526
TE,Brenton,Strange,4430539
TE,Elijah,Higgins,4426844
TE,Kevin,Rader,3049290
TE,Jesse,James,2979590
TE,Tyler,Davis,3914240
TE,Charlie,Woerner,4035020
WR,DJ,Moore,3915416
WR,Calvin,Ridley,3925357
WR,Mike,Williams,3045138
WR,Jaxon,Smith-Njigba,4430878
WR,Jordan,Addison,4429205
WR,Odell,Beckham-Jr,16733
WR,Zay,Flowers,4429615
WR,Quentin,Johnston,4429025
WR,Jonathan,Mingo,4426485
WR,Jayden,Reed,4362249
WR,Rashee,Rice,4428331
WR,Marvin,Jones-Jr,15072
WR,Tim,Patrick,3134353
WR,Griffin,Hebert,4239691
WR,Malik,Turner,3115928
WR,James,Washington,3122449
WR,Demario,Douglas,4427095
WR,Tyler,Scott,4565908
WR,Josh,Downs,4688813
WR,Kwamie,Lassiter-II,4035912
WR,David,Moore,4212909
WR,Calvin,Austin-III,4243389
WR,Tre,Tucker,4428718
WR,John,Metchie-III,4567096
WR,Michael,Wilson,4360761
WR,Nathaniel,Dell,4366031
WR,Dontayvion,Wicks,4428850
WR,Marvin,Mims-Jr,4686472
WR,Jalin,Hyatt,4692590
WR,Parker,Washington,4432620
WR,Puka,Nacua,4426515
WR,Justin,Watson,3118892
WR,Cedric,Tillman,4369863
WR,Charlie,Jones,4257188
WR,Justin,Shorter,4361426
WR,Kayshon,Boutte,4429022
WR,Britain,Covey,3926231
WR,Trinity,Benson,4422214
WR,Justyn,Ross,4360306
WR,Lance,McCutcheon,4247812
WR,Grant,DuBose,4879650
WR,Derius,Davis,4362477
WR,Marcus,Kemp,3046399
WR,Jakeem,Grant-Sr,2577641
WR,Matthew,Slater,11387
WR,Javon,Wims,4035019
WR,Jaydon,Mickens,2978308
WR,Robbie,Chosen,2574808
 K,Zane,Gonzalez,3043234
 K,Tristan,Vizcaino,3127313
 K,Jack,Podlesny,4379410
 K,Elliott,Fry,3048898
 K,Jake,Moody,4372066
 K,Chad,Ryland,4363538
 K,Alex,Quevedo,5125287
 K,Anders,Carlson,4242519
 K,Christopher,Dunn,4361665
